STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-29,0.05,50,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-06-30,0.11,52,44
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-01,0.12,51,43
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-02,0.14,51,44
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-03,0.02,53,44
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-04,0,59,46
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-05,0.4,56,47
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-06,0.02,51,46
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-07,0.02,55,46
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-08,0.31,55,45
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-09,0.03,57,49
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-10,0.04,58,48
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-11,0.16,53,48
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-12,0.2,53,48
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-13,0.15,54,47
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-14,0.16,56,49
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-15,0,56,49
USW00025624,"COLD BAY AIRPORT, AK US",55.2207,-162.7324,23.8,1981-07-16,0.05,57,48
